,tweet,politican,party,retweet,tweet_web_r,ARI,DCR,TS,punct,token,lem_token
114,Climate change is the challenge that's going to define our American future. And if I have the honor of being electe… https://t.co/QCydwDQh0m,Biden,D,False,Climate change is the challenge that's going to define our American future. And if I have the honor of being electe… ,5.3,7.16,7.16,Climate change is the challenge thats going to define our American future And if I have the honor of being electe… ,"['Climate', 'change', 'challenge', 'thats', 'going', 'define', 'American', 'future', 'And', 'I', 'honor', 'electe…']","['Climate', 'change', 'challenge', 'thats', 'going', 'define', 'American', 'future', 'And', 'I', 'honor', 'electe…']"
115,"When Donald Trump thinks about climate change, all he can muster is one word: “hoax.”
 
When I think about climate… https://t.co/b063dPLVZn",Biden,D,False,"When Donald Trump thinks about climate change, all he can muster is one word: “hoax.”
 
When I think about climate… ",11.2,6.21,6.21,"When Donald Trump thinks about climate change all he can muster is one word “hoax”
 
When I think about climate… ","['When', 'Donald', 'Trump', 'thinks', 'climate', 'change', 'muster', 'one', 'word', '“', 'hoax', '”', 'When', 'I', 'think', 'climate…']","['When', 'Donald', 'Trump', 'think', 'climate', 'change', 'muster', 'one', 'word', '“', 'hoax', '”', 'When', 'I', 'think', 'climate…']"
116,Every few weeks when he needs a distraction from the latest charge of corruption in his staff — or the conviction o… https://t.co/PKdJlyJPP4,Biden,D,False,Every few weeks when he needs a distraction from the latest charge of corruption in his staff — or the conviction o… ,9.9,7.6,7.6,Every few weeks when he needs a distraction from the latest charge of corruption in his staff — or the conviction o… ,"['Every', 'weeks', 'needs', 'distraction', 'latest', 'charge', 'corruption', 'staff', '—', 'conviction', 'o…']","['Every', 'week', 'need', 'distraction', 'latest', 'charge', 'corruption', 'staff', '—', 'conviction', 'o…']"
117,We can’t just build things back to the way they were — we’ve got to build America back better. Tune in as I deliver… https://t.co/u9DydWVLpj,Biden,D,False,We can’t just build things back to the way they were — we’ve got to build America back better. Tune in as I deliver… ,2.8,1.25,1.25,We can’t just build things back to the way they were — we’ve got to build America back better Tune in as I deliver… ,"['We', '’', 'build', 'things', 'back', 'way', '—', '’', 'got', 'build', 'America', 'back', 'better', 'Tune', 'I', 'deliver…']","['We', '’', 'build', 'thing', 'back', 'way', '—', '’', 'got', 'build', 'America', 'back', 'better', 'Tune', 'I', 'deliver…']"
118,"I want every single American to know: If you're sick, struggling, or worried about how you're going to get through… https://t.co/Vd3QmOgcwD",Biden,D,False,"I want every single American to know: If you're sick, struggling, or worried about how you're going to get through… ",11.2,6.21,6.21,I want every single American to know If youre sick struggling or worried about how youre going to get through… ,"['I', 'want', 'every', 'single', 'American', 'know', 'If', 'youre', 'sick', 'struggling', 'worried', 'youre', 'going', 'get', 'through…']","['I', 'want', 'every', 'single', 'American', 'know', 'If', 'youre', 'sick', 'struggling', 'worried', 'youre', 'going', 'get', 'through…']"
119,We shouldn't have to beg this president to listen to the experts.,Biden,D,False,We shouldn't have to beg this president to listen to the experts.,5.8,6.86,6.86,We shouldnt have to beg this president to listen to the experts,"['We', 'shouldnt', 'beg', 'president', 'listen', 'experts']","['We', 'shouldnt', 'beg', 'president', 'listen', 'expert']"
120,The hard truth is it didn't have to be this bad. But Donald Trump has squandered every chance he's had to contain t… https://t.co/NAH4sSzwWT,Biden,D,False,The hard truth is it didn't have to be this bad. But Donald Trump has squandered every chance he's had to contain t… ,3.6,6.27,6.27,The hard truth is it didnt have to be this bad But Donald Trump has squandered every chance hes had to contain t… ,"['The', 'hard', 'truth', 'didnt', 'bad', 'But', 'Donald', 'Trump', 'squandered', 'every', 'chance', 'hes', 'contain', 't…']","['The', 'hard', 'truth', 'didnt', 'bad', 'But', 'Donald', 'Trump', 'squandered', 'every', 'chance', 'he', 'contain', 't…']"
121,America can’t sit on the sidelines in the race for the future. My administration will invest $300 billion in resear… https://t.co/LS207sbmTO,Biden,D,False,America can’t sit on the sidelines in the race for the future. My administration will invest $300 billion in resear… ,6.4,8.87,8.87,America can’t sit on the sidelines in the race for the future My administration will invest 300 billion in resear… ,"['America', '’', 'sit', 'sidelines', 'race', 'future', 'My', 'administration', 'invest', '300', 'billion', 'resear…']","['America', '’', 'sit', 'sideline', 'race', 'future', 'My', 'administration', 'invest', '300', 'billion', 'resear…']"
122,"""We're leading the world."" https://t.co/QQzaQeKAUj",Biden,D,False,"""We're leading the world."" ",7.7,7.78,7.78,Were leading the world ,"['Were', 'leading', 'world']","['Were', 'leading', 'world']"
123,Donald Trump needs to spend less time playing golf and more time listening to experts like Dr. Fauci.,Biden,D,False,Donald Trump needs to spend less time playing golf and more time listening to experts like Dr. Fauci.,9.6,8.92,8.92,Donald Trump needs to spend less time playing golf and more time listening to experts like Dr Fauci,"['Donald', 'Trump', 'needs', 'spend', 'less', 'time', 'playing', 'golf', 'time', 'listening', 'experts', 'like', 'Dr', 'Fauci']","['Donald', 'Trump', 'need', 'spend', 'le', 'time', 'playing', 'golf', 'time', 'listening', 'expert', 'like', 'Dr', 'Fauci']"
124,"In January, I sounded the alarm regarding COVID-19. 

Over five months later, President Trump still hasn't taken th… https://t.co/vWToDcQ12o",Biden,D,False,"In January, I sounded the alarm regarding COVID-19. 

Over five months later, President Trump still hasn't taken th… ",13.5,8.04,8.04,"In January I sounded the alarm regarding COVID19 

Over five months later President Trump still hasnt taken th… ","['In', 'January', 'I', 'sounded', 'alarm', 'regarding', 'COVID19', 'Over', 'five', 'months', 'later', 'President', 'Trump', 'still', 'hasnt', 'taken', 'th…']","['In', 'January', 'I', 'sounded', 'alarm', 'regarding', 'COVID19', 'Over', 'five', 'month', 'later', 'President', 'Trump', 'still', 'hasnt', 'taken', 'th…']"
125,"The stakes couldn't be higher this November. Time and time again, Donald Trump has failed the people of Puerto Rico… https://t.co/YeREmuWUFU",Biden,D,False,"The stakes couldn't be higher this November. Time and time again, Donald Trump has failed the people of Puerto Rico… ",6.4,7.29,7.29,The stakes couldnt be higher this November Time and time again Donald Trump has failed the people of Puerto Rico… ,"['The', 'stakes', 'couldnt', 'higher', 'November', 'Time', 'time', 'Donald', 'Trump', 'failed', 'people', 'Puerto', 'Rico…']","['The', 'stake', 'couldnt', 'higher', 'November', 'Time', 'time', 'Donald', 'Trump', 'failed', 'people', 'Puerto', 'Rico…']"
126,"Together, we're going to build a new American economy: https://t.co/RvfzbDN7dP https://t.co/5TePAe7tbY",Biden,D,False,"Together, we're going to build a new American economy:  ",7.1,5.84,5.84,Together were going to build a new American economy  ,"['Together', 'going', 'build', 'new', 'American', 'economy']","['Together', 'going', 'build', 'new', 'American', 'economy']"
127,"It's hard to believe this has to be said, but unlike this president, I'll actually listen to the experts and heed t… https://t.co/qFOs9jhkEj",Biden,D,False,"It's hard to believe this has to be said, but unlike this president, I'll actually listen to the experts and heed t… ",9.9,7.6,7.6,Its hard to believe this has to be said but unlike this president Ill actually listen to the experts and heed t… ,"['Its', 'hard', 'believe', 'said', 'unlike', 'president', 'Ill', 'actually', 'listen', 'experts', 'heed', 't…']","['Its', 'hard', 'believe', 'said', 'unlike', 'president', 'Ill', 'actually', 'listen', 'expert', 'heed', 't…']"
128,"Mohamed Amashah is finally home after 486 days in Egyptian prison for holding a protest sign. Arresting, torturing,… https://t.co/0EvWoHZL0c",Biden,D,False,"Mohamed Amashah is finally home after 486 days in Egyptian prison for holding a protest sign. Arresting, torturing,… ",13.5,8.92,8.92,Mohamed Amashah is finally home after 486 days in Egyptian prison for holding a protest sign Arresting torturing… ,"['Mohamed', 'Amashah', 'finally', 'home', '486', 'days', 'Egyptian', 'prison', 'holding', 'protest', 'sign', 'Arresting', 'torturing…']","['Mohamed', 'Amashah', 'finally', 'home', '486', 'day', 'Egyptian', 'prison', 'holding', 'protest', 'sign', 'Arresting', 'torturing…']"
129,"Ignore the polls.

We’ve got work to do: https://t.co/GCxsKwFY4h https://t.co/fnJezEaAg5",Biden,D,False,"Ignore the polls.

We’ve got work to do:  ",2.6,6.01,6.01,"Ignore the polls

We’ve got work to do  ","['Ignore', 'polls', 'We', '’', 'got', 'work']","['Ignore', 'poll', 'We', '’', 'got', 'work']"
130,"Health care is personal to me. And as president, I'll do everything I can to make sure every American has access to… https://t.co/yEML9TpX7u",Biden,D,False,"Health care is personal to me. And as president, I'll do everything I can to make sure every American has access to… ",4.4,6.34,6.34,Health care is personal to me And as president Ill do everything I can to make sure every American has access to… ,"['Health', 'care', 'personal', 'And', 'president', 'Ill', 'everything', 'I', 'make', 'sure', 'every', 'American', 'access', 'to…']","['Health', 'care', 'personal', 'And', 'president', 'Ill', 'everything', 'I', 'make', 'sure', 'every', 'American', 'access', 'to…']"
131,"We need a president who will always choose to unite rather than divide, because there’s nothing we can’t accomplish when we do it together.",Biden,D,False,"We need a president who will always choose to unite rather than divide, because there’s nothing we can’t accomplish when we do it together.",13.3,6.14,6.14,We need a president who will always choose to unite rather than divide because there’s nothing we can’t accomplish when we do it together,"['We', 'need', 'president', 'always', 'choose', 'unite', 'rather', 'divide', '’', 'nothing', '’', 'accomplish', 'together']","['We', 'need', 'president', 'always', 'choose', 'unite', 'rather', 'divide', '’', 'nothing', '’', 'accomplish', 'together']"
132,"To all the nurses on the frontlines of this fight, thank you. You are American heroes. https://t.co/fgTDhXU72C",Biden,D,False,"To all the nurses on the frontlines of this fight, thank you. You are American heroes. ",3.5,6.99,6.99,To all the nurses on the frontlines of this fight thank you You are American heroes ,"['To', 'nurses', 'frontlines', 'fight', 'thank', 'You', 'American', 'heroes']","['To', 'nurse', 'frontlines', 'fight', 'thank', 'You', 'American', 'hero']"
133,"Donald Trump is the worst possible person to lead us through this moment.

We need real leadership, right now. Live… https://t.co/95DbcrbHbD",Biden,D,False,"Donald Trump is the worst possible person to lead us through this moment.

We need real leadership, right now. Live… ",11.6,6.21,6.21,"Donald Trump is the worst possible person to lead us through this moment

We need real leadership right now Live… ","['Donald', 'Trump', 'worst', 'possible', 'person', 'lead', 'us', 'moment', 'We', 'need', 'real', 'leadership', 'right', 'Live…']","['Donald', 'Trump', 'worst', 'possible', 'person', 'lead', 'u', 'moment', 'We', 'need', 'real', 'leadership', 'right', 'Live…']"
134,"Back in January, when President Trump signed his hollow ""phase one"" trade deal with Beijing, I made clear that no o… https://t.co/VBSr2ddqxx",Biden,D,False,"Back in January, when President Trump signed his hollow ""phase one"" trade deal with Beijing, I made clear that no o… ",10.6,6.18,6.18,Back in January when President Trump signed his hollow phase one trade deal with Beijing I made clear that no o… ,"['Back', 'January', 'President', 'Trump', 'signed', 'hollow', 'phase', 'one', 'trade', 'deal', 'Beijing', 'I', 'made', 'clear', 'o…']","['Back', 'January', 'President', 'Trump', 'signed', 'hollow', 'phase', 'one', 'trade', 'deal', 'Beijing', 'I', 'made', 'clear', 'o…']"
135,"I’ve said it before, and I’ll say it again: Donald Trump is the most corrupt president in modern American history.… https://t.co/RpBMXUQ73d",Biden,D,False,"I’ve said it before, and I’ll say it again: Donald Trump is the most corrupt president in modern American history.… ",11.2,7.79,7.79,I’ve said it before and I’ll say it again Donald Trump is the most corrupt president in modern American history… ,"['I', '’', 'said', 'I', '’', 'say', 'Donald', 'Trump', 'corrupt', 'president', 'modern', 'American', 'history…']","['I', '’', 'said', 'I', '’', 'say', 'Donald', 'Trump', 'corrupt', 'president', 'modern', 'American', 'history…']"
136,"This was almost two months ago. 

Since then? Tens of thousands more lives lost. A million and a half new cases.

T… https://t.co/ABdTusgFhL",Biden,D,False,"This was almost two months ago. 

Since then? Tens of thousands more lives lost. A million and a half new cases.

T… ",2.8,5.43,5.43,"This was almost two months ago 

Since then Tens of thousands more lives lost A million and a half new cases

T… ","['This', 'almost', 'two', 'months', 'ago', 'Since', 'Tens', 'thousands', 'lives', 'lost', 'A', 'million', 'half', 'new', 'cases', 'T…']","['This', 'almost', 'two', 'month', 'ago', 'Since', 'Tens', 'thousand', 'life', 'lost', 'A', 'million', 'half', 'new', 'case', 'T…']"
137,"The United States has over 3 million cases of COVID-19, and over 130,000 people have died — yet Donald Trump contin… https://t.co/ve07tDY0P8",Biden,D,False,"The United States has over 3 million cases of COVID-19, and over 130,000 people have died — yet Donald Trump contin… ",10.6,6.93,6.93,The United States has over 3 million cases of COVID19 and over 130000 people have died — yet Donald Trump contin… ,"['The', 'United', 'States', '3', 'million', 'cases', 'COVID19', '130000', 'people', 'died', '—', 'yet', 'Donald', 'Trump', 'contin…']","['The', 'United', 'States', '3', 'million', 'case', 'COVID19', '130000', 'people', 'died', '—', 'yet', 'Donald', 'Trump', 'contin…']"
138,"I see a different America than President Trump. One that, despite all our flaws and shortcomings and failings, is s… https://t.co/1Zyt9Pfha9",Biden,D,False,"I see a different America than President Trump. One that, despite all our flaws and shortcomings and failings, is s… ",6.4,7.29,7.29,I see a different America than President Trump One that despite all our flaws and shortcomings and failings is s… ,"['I', 'see', 'different', 'America', 'President', 'Trump', 'One', 'despite', 'flaws', 'shortcomings', 'failings', 's…']","['I', 'see', 'different', 'America', 'President', 'Trump', 'One', 'despite', 'flaw', 'shortcoming', 'failing', 's…']"
139,Still true. https://t.co/3zbAD3uXzq,Biden,D,False,Still true. ,3.1,0.1,0.1,Still true ,"['Still', 'true']","['Still', 'true']"
140,Determination. Resilience. Grit. The strength to get up no matter how many times you’ve been knocked down. Respect… https://t.co/MMMzxbTT34,Biden,D,False,Determination. Resilience. Grit. The strength to get up no matter how many times you’ve been knocked down. Respect… ,13.2,7.16,7.16,Determination Resilience Grit The strength to get up no matter how many times you’ve been knocked down Respect… ,"['Determination', 'Resilience', 'Grit', 'The', 'strength', 'get', 'matter', 'many', 'times', '’', 'knocked', 'Respect…']","['Determination', 'Resilience', 'Grit', 'The', 'strength', 'get', 'matter', 'many', 'time', '’', 'knocked', 'Respect…']"
141,This is what “America First” looks like under President Trump: https://t.co/jSmJOeG13G,Biden,D,False,This is what “America First” looks like under President Trump: ,8.5,5.71,5.71,This is what “America First” looks like under President Trump ,"['This', '“', 'America', 'First', '”', 'looks', 'like', 'President', 'Trump']","['This', '“', 'America', 'First', '”', 'look', 'like', 'President', 'Trump']"
142,"Through every trial and tribulation, we've always emerged stronger — and we will again.",Biden,D,False,"Through every trial and tribulation, we've always emerged stronger — and we will again.",10.5,6.59,6.59,Through every trial and tribulation weve always emerged stronger — and we will again,"['Through', 'every', 'trial', 'tribulation', 'weve', 'always', 'emerged', 'stronger', '—']","['Through', 'every', 'trial', 'tribulation', 'weve', 'always', 'emerged', 'stronger', '—']"
143,Let’s use this opportunity to make bold investments in American industry and innovation so the future is made in Am… https://t.co/hWZqavvnQf,Biden,D,False,Let’s use this opportunity to make bold investments in American industry and innovation so the future is made in Am… ,11.4,8.58,8.58,Let’s use this opportunity to make bold investments in American industry and innovation so the future is made in Am… ,"['Let', '’', 'use', 'opportunity', 'make', 'bold', 'investments', 'American', 'industry', 'innovation', 'future', 'made', 'Am…']","['Let', '’', 'use', 'opportunity', 'make', 'bold', 'investment', 'American', 'industry', 'innovation', 'future', 'made', 'Am…']"
144,"Here's my promise to you: If I have the honor of being elected president, I will take care of your family like I wo… https://t.co/TJ9i2qv8HA",Biden,D,False,"Here's my promise to you: If I have the honor of being elected president, I will take care of your family like I wo… ",8.8,6.14,6.14,Heres my promise to you If I have the honor of being elected president I will take care of your family like I wo… ,"['Heres', 'promise', 'If', 'I', 'honor', 'elected', 'president', 'I', 'take', 'care', 'family', 'like', 'I', 'wo…']","['Heres', 'promise', 'If', 'I', 'honor', 'elected', 'president', 'I', 'take', 'care', 'family', 'like', 'I', 'wo…']"
145,The American people deserve to know what Donald Trump is hiding in his tax returns.,Biden,D,False,The American people deserve to know what Donald Trump is hiding in his tax returns.,7.7,7.54,7.54,The American people deserve to know what Donald Trump is hiding in his tax returns,"['The', 'American', 'people', 'deserve', 'know', 'Donald', 'Trump', 'hiding', 'tax', 'returns']","['The', 'American', 'people', 'deserve', 'know', 'Donald', 'Trump', 'hiding', 'tax', 'return']"
146,We can't just build back to the way things were before these crises — we have to build back better.,Biden,D,False,We can't just build back to the way things were before these crises — we have to build back better.,7.4,0.99,0.99,We cant just build back to the way things were before these crises — we have to build back better,"['We', 'cant', 'build', 'back', 'way', 'things', 'crises', '—', 'build', 'back', 'better']","['We', 'cant', 'build', 'back', 'way', 'thing', 'crisis', '—', 'build', 'back', 'better']"
147,This is our moment to imagine and build a new American economy — one where everyone gets a fair return for their wo… https://t.co/fILVpJUqpm,Biden,D,False,This is our moment to imagine and build a new American economy — one where everyone gets a fair return for their wo… ,9.3,6.15,6.15,This is our moment to imagine and build a new American economy — one where everyone gets a fair return for their wo… ,"['This', 'moment', 'imagine', 'build', 'new', 'American', 'economy', '—', 'one', 'everyone', 'gets', 'fair', 'return', 'wo…']","['This', 'moment', 'imagine', 'build', 'new', 'American', 'economy', '—', 'one', 'everyone', 'get', 'fair', 'return', 'wo…']"
148,"I do not buy for one second that the vitality of American manufacturing is a thing of the past.
 
American manufact… https://t.co/knGOlSQAtH",Biden,D,False,"I do not buy for one second that the vitality of American manufacturing is a thing of the past.
 
American manufact… ",10.6,6.93,6.93,"I do not buy for one second that the vitality of American manufacturing is a thing of the past
 
American manufact… ","['I', 'buy', 'one', 'second', 'vitality', 'American', 'manufacturing', 'thing', 'past', 'American', 'manufact…']","['I', 'buy', 'one', 'second', 'vitality', 'American', 'manufacturing', 'thing', 'past', 'American', 'manufact…']"
149,We can't just focus on the jobs of today — we have to also focus on the jobs and industries of tomorrow. I'll make… https://t.co/a8V1FA6W5R,Biden,D,False,We can't just focus on the jobs of today — we have to also focus on the jobs and industries of tomorrow. I'll make… ,8.6,6.14,6.14,We cant just focus on the jobs of today — we have to also focus on the jobs and industries of tomorrow Ill make… ,"['We', 'cant', 'focus', 'jobs', 'today', '—', 'also', 'focus', 'jobs', 'industries', 'tomorrow', 'Ill', 'make…']","['We', 'cant', 'focus', 'job', 'today', '—', 'also', 'focus', 'job', 'industry', 'tomorrow', 'Ill', 'make…']"
150,"American workers can out-compete anyone, but they need a government that fights for them. I'll revitalize American… https://t.co/kMEjhQDr15",Biden,D,False,"American workers can out-compete anyone, but they need a government that fights for them. I'll revitalize American… ",10.2,6.84,6.84,American workers can outcompete anyone but they need a government that fights for them Ill revitalize American… ,"['American', 'workers', 'outcompete', 'anyone', 'need', 'government', 'fights', 'Ill', 'revitalize', 'American…']","['American', 'worker', 'outcompete', 'anyone', 'need', 'government', 'fight', 'Ill', 'revitalize', 'American…']"
151,"When we spend taxpayer money, we should use it to buy American products &amp; support American jobs.

But under Trump,… https://t.co/Y93MBsAIVo",Biden,D,False,"When we spend taxpayer money, we should use it to buy American products &amp; support American jobs.

But under Trump,… ",12.4,7.0,7.0,"When we spend taxpayer money we should use it to buy American products amp support American jobs

But under Trump… ","['When', 'spend', 'taxpayer', 'money', 'use', 'buy', 'American', 'products', 'amp', 'support', 'American', 'jobs', 'But', 'Trump…']","['When', 'spend', 'taxpayer', 'money', 'use', 'buy', 'American', 'product', 'amp', 'support', 'American', 'job', 'But', 'Trump…']"
152,We're in the middle of an economic crisis. But it's not enough to just turn things around — we have to build back b… https://t.co/SWLhxsNBfa,Biden,D,False,We're in the middle of an economic crisis. But it's not enough to just turn things around — we have to build back b… ,2.8,5.55,5.55,Were in the middle of an economic crisis But its not enough to just turn things around — we have to build back b… ,"['Were', 'middle', 'economic', 'crisis', 'But', 'enough', 'turn', 'things', 'around', '—', 'build', 'back', 'b…']","['Were', 'middle', 'economic', 'crisis', 'But', 'enough', 'turn', 'thing', 'around', '—', 'build', 'back', 'b…']"
153,The future must be made in America — by all of America. Here's how we'll do it: https://t.co/lPgZPE7d0G https://t.co/KERhYFcXAY,Biden,D,False,The future must be made in America — by all of America. Here's how we'll do it:  ,0.3,4.99,4.99,The future must be made in America — by all of America Heres how well do it  ,"['The', 'future', 'must', 'made', 'America', '—', 'America', 'Heres', 'well']","['The', 'future', 'must', 'made', 'America', '—', 'America', 'Heres', 'well']"
154,As I was saying. https://t.co/NwOKjL0Zhj,Biden,D,False,As I was saying. ,-4.2,7.78,7.78,As I was saying ,"['As', 'I', 'saying']","['As', 'I', 'saying']"
155,Four years of Betsy DeVos is more than enough. We need a Secretary of Education who is actually a public school educator.,Biden,D,False,Four years of Betsy DeVos is more than enough. We need a Secretary of Education who is actually a public school educator.,5.5,8.49,8.49,Four years of Betsy DeVos is more than enough We need a Secretary of Education who is actually a public school educator,"['Four', 'years', 'Betsy', 'DeVos', 'enough', 'We', 'need', 'Secretary', 'Education', 'actually', 'public', 'school', 'educator']","['Four', 'year', 'Betsy', 'DeVos', 'enough', 'We', 'need', 'Secretary', 'Education', 'actually', 'public', 'school', 'educator']"
156,"I commend the Task Forces for their service and for helping build a bold, transformative platform for our party and… https://t.co/32FnM1UKgg",Biden,D,False,"I commend the Task Forces for their service and for helping build a bold, transformative platform for our party and… ",11.4,7.0,7.0,I commend the Task Forces for their service and for helping build a bold transformative platform for our party and… ,"['I', 'commend', 'Task', 'Forces', 'service', 'helping', 'build', 'bold', 'transformative', 'platform', 'party', 'and…']","['I', 'commend', 'Task', 'Forces', 'service', 'helping', 'build', 'bold', 'transformative', 'platform', 'party', 'and…']"
157,Increased testing isn’t the reason for the surge in coronavirus cases — Donald Trump's failed leadership is. https://t.co/j7vKxnlaj4,Biden,D,False,Increased testing isn’t the reason for the surge in coronavirus cases — Donald Trump's failed leadership is. ,12.6,10.98,10.98,Increased testing isn’t the reason for the surge in coronavirus cases — Donald Trumps failed leadership is ,"['Increased', 'testing', '’', 'reason', 'surge', 'coronavirus', 'cases', '—', 'Donald', 'Trumps', 'failed', 'leadership']","['Increased', 'testing', '’', 'reason', 'surge', 'coronavirus', 'case', '—', 'Donald', 'Trumps', 'failed', 'leadership']"
158,"Trump launched his 2016 campaign by calling Mexicans rapists.

He's spread racism against our Latino community ever… https://t.co/Ku4HUCMyBQ",Biden,D,False,"Trump launched his 2016 campaign by calling Mexicans rapists.

He's spread racism against our Latino community ever… ",15.0,8.19,8.19,"Trump launched his 2016 campaign by calling Mexicans rapists

Hes spread racism against our Latino community ever… ","['Trump', 'launched', '2016', 'campaign', 'calling', 'Mexicans', 'rapists', 'Hes', 'spread', 'racism', 'Latino', 'community', 'ever…']","['Trump', 'launched', '2016', 'campaign', 'calling', 'Mexicans', 'rapist', 'Hes', 'spread', 'racism', 'Latino', 'community', 'ever…']"
159,Let me be clear: No one should be forced out of their home in the middle of a pandemic because they can’t pay rent. https://t.co/0NJ9ao7HON,Biden,D,False,Let me be clear: No one should be forced out of their home in the middle of a pandemic because they can’t pay rent. ,8.6,1.85,1.85,Let me be clear No one should be forced out of their home in the middle of a pandemic because they can’t pay rent ,"['Let', 'clear', 'No', 'one', 'forced', 'home', 'middle', 'pandemic', '’', 'pay', 'rent']","['Let', 'clear', 'No', 'one', 'forced', 'home', 'middle', 'pandemic', '’', 'pay', 'rent']"
160,"When there were 15 cases, the President said it wouldn't spread any farther. 

We just hit our 3 millionth case.

W… https://t.co/z7K6TWItef",Biden,D,False,"When there were 15 cases, the President said it wouldn't spread any farther. 

We just hit our 3 millionth case.

W… ",10.8,6.93,6.93,"When there were 15 cases the President said it wouldnt spread any farther 

We just hit our 3 millionth case

W… ","['When', '15', 'cases', 'President', 'said', 'wouldnt', 'spread', 'farther', 'We', 'hit', '3', 'millionth', 'case', 'W…']","['When', '15', 'case', 'President', 'said', 'wouldnt', 'spread', 'farther', 'We', 'hit', '3', 'millionth', 'case', 'W…']"
161,".@AdyBarkan — The courage you show every day is an inspiration to so many, and I'm grateful to have you by my side… https://t.co/x2i9QrfmM4",Biden,D,False,".@AdyBarkan — The courage you show every day is an inspiration to so many, and I'm grateful to have you by my side… ",9.1,6.15,6.15,AdyBarkan — The courage you show every day is an inspiration to so many and Im grateful to have you by my side… ,"['AdyBarkan', '—', 'The', 'courage', 'show', 'every', 'day', 'inspiration', 'many', 'Im', 'grateful', 'side…']","['AdyBarkan', '—', 'The', 'courage', 'show', 'every', 'day', 'inspiration', 'many', 'Im', 'grateful', 'side…']"
162,This is a national disgrace. We have to ensure these communities get the care they need immediately — and then tack… https://t.co/DuOslRDrCd,Biden,D,False,This is a national disgrace. We have to ensure these communities get the care they need immediately — and then tack… ,5.3,7.92,7.92,This is a national disgrace We have to ensure these communities get the care they need immediately — and then tack… ,"['This', 'national', 'disgrace', 'We', 'ensure', 'communities', 'get', 'care', 'need', 'immediately', '—', 'tack…']","['This', 'national', 'disgrace', 'We', 'ensure', 'community', 'get', 'care', 'need', 'immediately', '—', 'tack…']"
163,The most sacred obligation of our government is to keep our troops safe when we send them into battle — and to care… https://t.co/3cU51SLuCF,Biden,D,False,The most sacred obligation of our government is to keep our troops safe when we send them into battle — and to care… ,9.3,6.15,6.15,The most sacred obligation of our government is to keep our troops safe when we send them into battle — and to care… ,"['The', 'sacred', 'obligation', 'government', 'keep', 'troops', 'safe', 'send', 'battle', '—', 'care…']","['The', 'sacred', 'obligation', 'government', 'keep', 'troop', 'safe', 'send', 'battle', '—', 'care…']"
164,"Across the world, people come to this country with unrelenting optimism and determination toward the future. They s… https://t.co/EWeHExpUAB",Biden,D,False,"Across the world, people come to this country with unrelenting optimism and determination toward the future. They s… ",13.5,8.04,8.04,Across the world people come to this country with unrelenting optimism and determination toward the future They s… ,"['Across', 'world', 'people', 'come', 'country', 'unrelenting', 'optimism', 'determination', 'toward', 'future', 'They', 's…']","['Across', 'world', 'people', 'come', 'country', 'unrelenting', 'optimism', 'determination', 'toward', 'future', 'They', 's…']"
165,"Americans are safer when America is engaged in strengthening global health. On my first day as President, I will re… https://t.co/qNgyOKHOlE",Biden,D,False,"Americans are safer when America is engaged in strengthening global health. On my first day as President, I will re… ",6.4,8.08,8.08,Americans are safer when America is engaged in strengthening global health On my first day as President I will re… ,"['Americans', 'safer', 'America', 'engaged', 'strengthening', 'global', 'health', 'On', 'first', 'day', 'President', 'I', 're…']","['Americans', 'safer', 'America', 'engaged', 'strengthening', 'global', 'health', 'On', 'first', 'day', 'President', 'I', 're…']"
166,We've seen what happens when the federal government fails to secure sufficient supplies of critical products like P… https://t.co/uOPSwFLmj4,Biden,D,False,We've seen what happens when the federal government fails to secure sufficient supplies of critical products like P… ,13.5,10.67,10.67,Weve seen what happens when the federal government fails to secure sufficient supplies of critical products like P… ,"['Weve', 'seen', 'happens', 'federal', 'government', 'fails', 'secure', 'sufficient', 'supplies', 'critical', 'products', 'like', 'P…']","['Weve', 'seen', 'happens', 'federal', 'government', 'fails', 'secure', 'sufficient', 'supply', 'critical', 'product', 'like', 'P…']"
167,Donald Trump needs to do his job.,Biden,D,False,Donald Trump needs to do his job.,0.3,6.24,6.24,Donald Trump needs to do his job,"['Donald', 'Trump', 'needs', 'job']","['Donald', 'Trump', 'need', 'job']"
168,Character belongs in the White House. https://t.co/Bz1syMprhJ,Biden,D,False,Character belongs in the White House. ,6.7,9.2,9.2,Character belongs in the White House ,"['Character', 'belongs', 'White', 'House']","['Character', 'belongs', 'White', 'House']"
169,"To beat COVID-19, we need a coordinated national response from the federal government — but Donald Trump refuses to… https://t.co/wcErdMgLoq",Biden,D,False,"To beat COVID-19, we need a coordinated national response from the federal government — but Donald Trump refuses to… ",12.4,9.57,9.57,To beat COVID19 we need a coordinated national response from the federal government — but Donald Trump refuses to… ,"['To', 'beat', 'COVID19', 'need', 'coordinated', 'national', 'response', 'federal', 'government', '—', 'Donald', 'Trump', 'refuses', 'to…']","['To', 'beat', 'COVID19', 'need', 'coordinated', 'national', 'response', 'federal', 'government', '—', 'Donald', 'Trump', 'refuse', 'to…']"
